Lato    Perimetro    Area    Diagonale
1      4             1            1.414000
2      8             4            2.828000
3      12             9            4.242000
4      16             16            5.656000
5      20             25            7.070000
6      24             36            8.484000
7      28             49            9.898000
8      32             64            11.312000
9      36             81            12.726000
10      40             100            14.140000
11      44             121            15.554000
12      48             144            16.968000
13      52             169            18.382000
14      56             196            19.796000
15      60             225            21.209999
16      64             256            22.624001
17      68             289            24.038000
18      72             324            25.452000
19      76             361            26.865999
20      80             400            28.280001
21      84             441            29.694000
22      88             484            31.108000
23      92             529            32.521999
24      96             576            33.936001
25      100             625            35.349998
26      104             676            36.764000
27      108             729            38.178001
28      112             784            39.591999
29      116             841            41.006001
30      120             900            42.419998
31      124             961            43.834000
32      128             1024            45.248001
33      132             1089            46.661999
34      136             1156            48.076000
35      140             1225            49.490002
36      144             1296            50.903999
37      148             1369            52.318001
38      152             1444            53.731998
39      156             1521            55.146000
40      160             1600            56.560001
41      164             1681            57.973999
42      168             1764            59.388000
43      172             1849            60.801998
44      176             1936            62.216000
45      180             2025            63.630001
46      184             2116            65.043999
47      188             2209            66.458000
48      192             2304            67.872002
49      196             2401            69.286003
50      200             2500            70.699997
51      204             2601            72.113998
52      208             2704            73.528000
53      212             2809            74.942001
54      216             2916            76.356003
55      220             3025            77.769997
56      224             3136            79.183998
57      228             3249            80.598000
58      232             3364            82.012001
59      236             3481            83.426003
60      240             3600            84.839996
61      244             3721            86.253998
62      248             3844            87.667999
63      252             3969            89.082001
64      256             4096            90.496002
65      260             4225            91.910004
66      264             4356            93.323997
67      268             4489            94.737999
68      272             4624            96.152000
69      276             4761            97.566002
70      280             4900            98.980003
71      284             5041            100.393997
72      288             5184            101.807999
73      292             5329            103.222000
74      296             5476            104.636002
75      300             5625            106.050003
76      304             5776            107.463997
77      308             5929            108.877998
78      312             6084            110.292000
